track,album_name,release_date,album_uri,song_uri,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,mode,key,valence,duration
Beyond,Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:3UB3z6fgDJw1A122BKc4sP,39,0.367,0.625,0.648,0.491,0.368,-11.33,0.0343,104.025,4,0,8,0.785,290240
Motherboard,Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:3mEWSc9vWFXGvpgEEvxuX7,38,0.512,0.548,0.707,0.926,0.105,-14.902,0.0352,103.012,4,0,4,0.283,341653
Fragments of Time (feat. Todd Edwards),Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:5gYw8hl2Xp4aGLndo5cXWh,41,0.0413,0.807,0.51,0.115,0.104,-9.729,0.0433,130.118,4,1,0,0.961,279773
Doin' it Right (feat. Panda Bear),Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:1OQP3Wil7orelGkRCFU1cQ,42,0.388,0.804,0.451,2.08e-05,0.0924,-8.207,0.0948,178.05,4,1,6,0.19,251293
Contact,Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:5pHSnKStU4XLB6y03b1c1W,38,0.00271,0.415,0.757,0.732,0.0695,-8.423,0.0496,123.933,4,0,11,0.086,383627
Horizon Ouverture,Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:1kOPoZDgQean1ecxJT0GIT,44,0.94,0.146,0.135,0.845,0.172,-17.494,0.0367,84.855,3,0,4,0.0392,127693
Horizon (Japan CD),Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:6iZRqJjpbOVEv4mFTpqg1d,50,0.0289,0.551,0.274,0.925,0.112,-15.865,0.0282,110.181,4,0,4,0.129,262560
GLBTM (Studio Outtakes),Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:6QxktTtoOGxB8vrD7LQjm5,41,0.00325,0.764,0.558,0.815,0.0677,-10.856,0.0342,119.004,4,0,9,0.349,381667
Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz],Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:4r4fX4NZIqVIhGyDvERp0l,60,0.11,0.636,0.635,0.643,0.61,-10.532,0.0534,110.031,4,1,1,0.192,239213
GL (Early Take) [feat. Pharrell Williams and Nile Rodgers],Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:4v1pwKLYGnW6RMLzdp3x4k,43,0.328,0.704,0.664,0.76,0.075,-12.664,0.0605,116.069,4,0,6,0.371,32893
Prime (2012 Unfinished),Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:1iAsoOFV16Ax6OFKMq8sld,46,0.273,0.485,0.75,0.946,0.672,-10.847,0.0348,117.013,4,0,9,0.431,286400
LYTD (Vocoder Tests) [feat. Pharrell Williams],Random Access Memories (10th Anniversary Edition),2023-05-12,spotify:album:4mAhdh996uW5SnnFKXUmC0,spotify:track:3PgYTZHsdWp4C21bQ8zxvM,45,0.218,0.827,0.473,0.000121,0.106,-9.411,0.0541,100.017,4,0,10,0.719,128440
